City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
638,Yorkton,CA,64.24,few clouds,51.2167,-102.4677,Redwood Motel
639,Herrin,US,64.35,clear sky,37.8031,-89.0276,Mary's Restaurant
641,Zarechnyy,RU,46.58,overcast clouds,53.2036,45.1923,Постоялый Дом
644,Syracuse,IT,64.89,clear sky,37.0881,15.2792,Hotel Posta
645,Cairns,AU,81.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
646,Casper,US,63.19,clear sky,42.8666,-106.3131,Ramkota Hotel
647,Loiza,PR,82.38,scattered clouds,18.4313,-65.8802,Malibu Beachfront
653,Canton,CN,85.95,overcast clouds,23.1167,113.25,Guangzhou Hotel
654,Susanville,US,85.84,clear sky,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
661,Neuquen,AR,60.69,light rain,-38.9516,-68.0591,Hotel del Comahue
665,Galesong,ID,80.62,scattered clouds,-5.3166,119.3661,Sapriadi Appy
666,Luganville,VU,73.74,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
667,Tezu,IN,77.36,overcast clouds,27.9167,96.1667,Circuit House
668,Rabaul,PG,83.91,moderate rain,-4.1967,152.1721,Rabaul Hotel
670,Dehloran,IR,90.52,clear sky,32.6941,47.2679,کافه گیم استورم
673,Nanakuli,US,87.17,broken clouds,21.3906,-158.1547,Camp Pālehua
674,Riyadh,SA,87.85,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
681,Bantogon,PH,77.65,light rain,6.5333,124.0333,Kalamansig Greenhome
684,Grants Pass,US,89.11,clear sky,42.43899999999999,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
