City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
147,Watsa,CD,3.0372,29.5355,63.48,83,56,2.44,broken clouds
148,Puerto Ayora,EC,-0.7393,-90.3518,73.54,87,3,8.01,clear sky
149,Aklavik,CA,68.2191,-135.0107,52.52,47,100,6.69,overcast clouds
150,Margate,GB,51.3813,1.3862,52.3,83,1,1.99,clear sky
151,Labuhan,ID,-6.8844,112.2051,83.62,73,48,3.96,light rain
152,Flinders,AU,-34.5833,150.8552,65.05,58,0,1.01,clear sky
153,Tautira,PF,-17.7333,-149.15,82.42,69,100,15.12,overcast clouds
154,Cayenne,GF,4.9333,-52.3333,80.1,85,40,1.01,scattered clouds
155,Ucluelet,CA,48.9329,-125.5528,67.05,80,95,1.28,overcast clouds
156,Acapulco,MX,16.8634,-99.8901,85.82,70,90,5.26,overcast clouds
157,Magnor,SE,59.9511,12.1996,54.5,68,71,0.72,broken clouds
158,Bartica,GY,6.4,-58.6167,77.32,99,100,1.23,light rain
159,Samarai,PG,-10.6167,150.6667,80.46,77,88,16.58,overcast clouds
160,Mount Isa,AU,-20.7333,139.5,76.77,41,3,17.27,clear sky
161,Dikson,RU,73.5069,80.5464,30.22,98,100,10.27,light snow
162,Rosario,AR,-32.9468,-60.6393,56.82,64,0,1.01,clear sky
163,Lerwick,GB,60.1545,-1.1494,46.4,96,69,11.79,broken clouds
164,Padang,ID,-0.9492,100.3543,77.05,80,99,1.01,overcast clouds
165,Soavinandriana,MG,-19.1667,46.7333,52.47,86,0,3.83,clear sky
166,Minab,IR,27.1467,57.0801,81.9,28,0,0.6,clear sky
167,Barrow,US,71.2906,-156.7887,35.62,75,90,13.8,overcast clouds
168,Sept-Iles,CA,50.2001,-66.3821,52.32,54,75,1.01,broken clouds
169,Chokurdakh,RU,70.6333,147.9167,66.74,22,6,13.2,clear sky
170,Vila,PT,42.0304,-8.1588,54.48,84,2,3.22,clear sky
171,Mayumba,GA,-3.432,10.6554,76.14,91,68,4.72,broken clouds
172,Khandyga,RU,62.6667,135.6,52.12,87,100,6.49,light rain
173,Liling,CN,27.6667,113.5,76.89,67,55,3.74,broken clouds
174,Deder,ET,9.3167,41.45,54.97,70,34,4.76,scattered clouds
175,New Norfolk,AU,-42.7826,147.0587,50.92,49,89,3.24,overcast clouds
176,Oranjemund,NA,-28.55,16.4333,53.04,92,2,5.06,clear sky
177,Nantucket,US,41.2835,-70.0995,55.15,98,100,11.77,overcast clouds
178,Shingu,JP,33.7333,135.9833,74.39,65,0,8.34,clear sky
179,Mahajanga,MG,-15.7167,46.3167,71.62,94,20,4.61,few clouds
180,Kaseda,JP,31.4167,130.3167,79.83,52,10,2.57,clear sky
181,Alta Floresta,BR,-9.8756,-56.0861,72.61,60,58,2.8,broken clouds
182,Caravelas,BR,-17.7125,-39.2481,73.71,87,42,5.57,scattered clouds
183,Afua,BR,-0.1567,-50.3867,75.47,94,15,4.94,few clouds
184,Takapau,NZ,-40.0333,176.35,55.72,47,100,2.82,overcast clouds
185,Acajutla,SV,13.5928,-89.8275,80.89,79,46,4.14,scattered clouds
186,Dingle,PH,10.9995,122.6711,87.31,67,34,3.42,moderate rain
187,Raymondville,US,26.4815,-97.7831,83.37,78,98,13.09,overcast clouds
188,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,79.18,44,58,3.71,broken clouds
189,Codrington,AU,-38.2667,141.9667,56.35,41,92,14.41,overcast clouds
190,Parauna,BR,-16.9478,-50.4486,74.41,50,100,2.73,overcast clouds
191,Savannah Bight,HN,16.45,-85.85,82.0,83,35,22.73,scattered clouds
192,Tibiri,NE,13.5627,7.0485,84.06,10,5,9.28,clear sky
193,Camacha,PT,33.0833,-16.3333,61.54,72,40,6.91,scattered clouds
194,Tolaga Bay,NZ,-38.3667,178.3,58.37,65,39,4.12,scattered clouds
195,Nichinan,JP,31.6,131.3667,79.75,58,1,6.64,clear sky
196,Constitucion,CL,-35.3333,-72.4167,55.36,74,95,3.71,overcast clouds
197,Kodinsk,RU,58.6881,99.1844,44.98,75,90,1.43,overcast clouds
198,Bentong,MY,3.5181,101.9079,86.45,68,30,1.3,scattered clouds
199,Merauke,ID,-8.4667,140.3333,83.08,66,70,10.71,broken clouds
200,Cordoba,AR,-31.4135,-64.1811,55.76,40,0,6.31,clear sky
201,High Prairie,CA,55.4334,-116.4858,69.1,62,100,4.88,overcast clouds
202,Slough,GB,51.5095,-0.5954,51.48,89,0,5.37,clear sky
203,Faanui,PF,-16.4833,-151.75,79.68,72,100,15.75,overcast clouds
204,Kaitangata,NZ,-46.2817,169.8464,50.94,91,100,7.38,overcast clouds
205,Mahebourg,MU,-20.4081,57.7,72.25,94,20,6.91,light rain
206,Sitka,US,57.0531,-135.33,53.49,76,90,11.5,overcast clouds
207,Milledgeville,US,33.0801,-83.2321,72.46,70,1,4.61,clear sky
208,Hami,CN,42.8,93.45,74.73,9,0,10.96,clear sky
209,Saint-Francois,FR,46.4154,3.9054,45.84,89,0,2.3,clear sky
210,Ostersund,SE,63.1792,14.6357,50.61,71,20,6.91,few clouds
211,Bakchar,RU,57.0186,82.0711,67.39,58,50,4.65,scattered clouds
212,Husavik,IS,66.0449,-17.3389,48.11,74,66,6.38,broken clouds
213,Arica,CL,-18.475,-70.3042,64.63,72,90,1.32,overcast clouds
214,Nanortalik,GL,60.1432,-45.2371,36.19,89,6,17.74,clear sky
215,Zhigansk,RU,66.7697,123.3711,56.46,41,0,10.94,clear sky
216,Havelock,US,34.8791,-76.9013,59.94,90,90,1.99,overcast clouds
217,Katsuura,JP,35.1333,140.3,76.23,63,0,13.53,clear sky
218,Korla,CN,41.7597,86.1469,79.5,16,2,4.83,clear sky
219,Tak Bai,TH,6.2595,102.0546,83.91,74,77,2.44,broken clouds
220,Emba,KZ,48.8264,58.1442,74.23,51,70,3.33,broken clouds
221,Sorland,NO,67.667,12.6934,45.75,94,100,10.29,light rain
222,Yunyang,CN,33.4474,112.7142,83.68,49,64,9.57,broken clouds
223,Manaure,CO,11.7751,-72.4445,79.72,75,93,17.49,overcast clouds
224,Dhidhdhoo,MV,6.8833,73.1,83.28,73,100,19.57,overcast clouds
225,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.57,96,100,7.94,heavy intensity rain
226,Buin,CL,-33.7333,-70.75,64.06,42,100,3.13,overcast clouds
227,Salinas,US,36.6777,-121.6555,88.61,65,1,12.66,clear sky
228,Wanning,CN,18.8003,110.3967,90.79,61,84,13.0,broken clouds
229,Dwarka,IN,22.2394,68.9678,83.48,77,66,15.75,broken clouds
