City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Ancud,CL,2021-05-27 02:30:27,-41.8697,-73.8203,57.42,95,100,23.13
120,Yulara,AU,2021-05-27 02:30:27,-25.2406,130.9889,58.84,44,100,19.57
121,Formosa,AR,2021-05-27 02:30:28,-26.1775,-58.1781,58.42,63,74,2.42
122,Saint-Augustin,CA,2021-05-27 02:30:28,51.226,-58.6502,44.87,98,100,3.78
123,Leh,IN,2021-05-27 02:30:28,34.1667,77.5833,46.2,33,0,1.12
124,Thompson,CA,2021-05-27 02:29:48,55.7435,-97.8558,41.16,38,20,5.75
125,Gilgit,PK,2021-05-27 02:30:29,35.9221,74.3087,71.22,37,3,0.94
126,Mecca,SA,2021-05-27 02:30:15,21.4267,39.8261,83.84,44,11,5.99
127,Berlevag,NO,2021-05-27 02:30:29,70.8578,29.0864,40.6,65,99,17.92
128,Luis Correia,BR,2021-05-27 02:30:30,-2.8792,-41.6669,76.51,83,45,8.5
129,Matara,LK,2021-05-27 02:30:08,5.9485,80.5353,80.83,82,100,19.53
130,Noumea,NC,2021-05-27 02:27:48,-22.2763,166.4572,75.18,99,2,4.7
131,Sterling,US,2021-05-27 02:30:30,39.0062,-77.4286,72.05,94,75,8.05
132,Otradnoye,RU,2021-05-27 02:30:31,59.7775,30.8181,47.95,96,74,4.18
133,Flinders,AU,2021-05-27 02:30:31,-34.5833,150.8552,65.37,51,0,7.0
134,Carutapera,BR,2021-05-27 02:30:31,-1.195,-46.02,75.49,93,90,4.29
135,Klaksvik,FO,2021-05-27 02:30:32,62.2266,-6.589,36.52,77,96,14.63
136,Kyra,RU,2021-05-27 02:30:32,49.5776,111.9753,52.54,51,94,15.01
137,Sioux Lookout,CA,2021-05-27 02:30:32,50.1001,-91.917,35.98,55,20,3.44
138,Kashary,RU,2021-05-27 02:30:33,49.04,41.0056,59.67,75,36,7.34
139,Aksarka,RU,2021-05-27 02:30:33,66.5606,67.7975,36.79,52,10,5.28
140,Novo Aripuana,BR,2021-05-27 02:30:33,-5.1206,-60.3797,74.28,70,97,2.42
141,Faanui,PF,2021-05-27 02:30:33,-16.4833,-151.75,81.21,70,20,12.57
142,Severo-Kurilsk,RU,2021-05-27 02:30:34,50.6789,156.125,39.0,98,100,10.87
143,Along,IN,2021-05-27 02:30:34,28.1667,94.7667,74.21,99,100,0.27
144,Inawashiro,JP,2021-05-27 02:30:35,37.5667,140.1167,60.69,95,100,5.91
145,Lompoc,US,2021-05-27 02:29:08,34.6391,-120.4579,67.37,81,75,10.36
146,Bodden Town,KY,2021-05-27 02:30:35,19.2833,-81.25,81.93,66,20,11.95
147,Puerto Ayora,EC,2021-05-27 02:29:21,-0.7393,-90.3518,74.55,92,58,3.0
148,Lyuban,BY,2021-05-27 02:30:36,52.7985,28.0048,49.03,84,50,6.24
149,Demba,CD,2021-05-27 02:30:36,-5.51,22.2667,63.19,59,41,2.55
150,Chuy,UY,2021-05-27 02:28:12,-33.6971,-53.4616,53.6,82,16,10.6
151,Coello,CO,2021-05-27 02:30:36,4.2891,-74.8982,75.31,83,79,2.08
152,Burgersdorp,ZA,2021-05-27 02:30:37,-30.9977,26.3286,48.22,61,69,4.65
153,Whyalla,AU,2021-05-27 02:30:37,-33.0333,137.5833,60.69,72,90,5.75
154,Kosh-Agach,RU,2021-05-27 02:30:38,50.0,88.6667,62.76,38,0,2.77
155,Hasaki,JP,2021-05-27 02:29:58,35.7333,140.8333,64.29,89,100,16.53
156,Havelock,US,2021-05-27 02:30:38,34.8791,-76.9013,76.01,85,40,8.01
157,Gamba,GA,2021-05-27 02:30:38,-2.65,10.0,76.82,91,97,5.19
158,Arraial Do Cabo,BR,2021-05-27 02:28:16,-22.9661,-42.0278,72.01,82,100,10.76
159,Vytegra,RU,2021-05-27 02:30:39,61.0064,36.4481,45.27,95,100,4.41
160,Karratha,AU,2021-05-27 02:29:12,-20.7377,116.8463,77.49,50,99,21.97
161,Saint-Georges,GD,2021-05-27 02:30:24,12.0564,-61.7485,79.56,82,84,12.59
162,Lagunas,PE,2021-05-27 02:30:40,-5.2269,-75.6753,74.21,86,93,3.02
163,Hualmay,PE,2021-05-27 02:30:40,-11.0964,-77.6139,66.13,90,44,3.4
164,Hun,LY,2021-05-27 02:30:40,29.1268,15.9477,74.05,33,8,3.29
165,Batticaloa,LK,2021-05-27 02:27:44,7.7102,81.6924,83.17,66,100,19.73
166,Puerto Leguizamo,CO,2021-05-27 02:30:41,-0.1934,-74.7819,70.75,99,100,1.66
167,Chokurdakh,RU,2021-05-27 02:30:41,70.6333,147.9167,45.14,68,35,10.47
168,Namibe,AO,2021-05-27 02:30:42,-15.1961,12.1522,72.86,61,0,3.56
169,Khash,IR,2021-05-27 02:29:15,28.2211,61.2158,76.35,20,0,4.03
170,Talnakh,RU,2021-05-27 02:28:44,69.4865,88.3972,24.3,88,54,3.18
171,Biak,ID,2021-05-27 02:30:42,-0.9131,122.8766,83.14,71,14,8.32
172,Owando,CG,2021-05-27 02:30:24,-0.4819,15.8999,73.13,82,83,1.68
173,Buala,SB,2021-05-27 02:30:43,-8.145,159.5921,82.47,76,72,14.23
174,Roald,NO,2021-05-27 02:30:43,62.5833,6.1333,48.99,93,0,17.27
175,Lebu,CL,2021-05-27 02:27:36,-37.6167,-73.65,57.31,95,100,6.51
176,Nome,US,2021-05-27 02:30:43,64.5011,-165.4064,65.1,29,1,6.91
177,Aneho,TG,2021-05-27 02:30:44,6.2333,1.6,82.6,83,100,11.32
178,Man,CI,2021-05-27 02:30:44,7.4125,-7.5538,72.3,99,99,2.17
179,Carnarvon,AU,2021-05-27 02:28:48,-24.8667,113.6333,75.27,38,0,12.66
180,Verkhoshizhemye,RU,2021-05-27 02:30:45,58.011,49.1038,47.19,73,53,4.29
181,Porto Santo,PT,2021-05-27 02:30:45,33.072,-16.3415,64.78,68,75,12.66
182,Coquimbo,CL,2021-05-27 02:30:45,-29.9533,-71.3436,49.73,93,0,2.95
183,Avarua,CK,2021-05-27 02:27:40,-21.2078,-159.775,80.65,89,20,9.22
184,Warrenton,ZA,2021-05-27 02:27:14,-28.114,24.8475,52.16,48,16,7.07
185,Port Hardy,CA,2021-05-27 02:30:06,50.6996,-127.4199,48.38,87,90,13.8
186,Chapayevka,UA,2021-05-27 02:30:46,47.4711,36.3451,63.52,68,98,4.36
187,Narsaq,GL,2021-05-27 02:30:46,60.9167,-46.05,34.02,93,100,4.92
188,Port Blair,IN,2021-05-27 02:30:47,11.6667,92.75,84.72,78,83,15.75
189,Passo Fundo,BR,2021-05-27 02:27:24,-28.2628,-52.4067,50.16,54,0,5.3
190,Tateyama,JP,2021-05-27 02:30:47,34.9833,139.8667,64.09,88,90,9.22
191,Isla Vista,US,2021-05-27 02:30:48,34.4133,-119.861,73.67,60,1,5.75
192,Nuristan,AF,2021-05-27 02:30:48,35.3,70.8333,45.45,39,8,6.62
193,Santiago,CL,2021-05-27 02:29:59,-33.4569,-70.6483,65.21,42,0,2.1
194,Tres Arroyos,AR,2021-05-27 02:30:49,-38.3739,-60.2798,50.83,63,100,7.74
195,Taguatinga,BR,2021-05-27 02:30:49,-12.3857,-46.5711,71.37,45,30,4.68
196,Soyo,AO,2021-05-27 02:30:50,-6.1349,12.3689,75.61,92,40,5.75
197,Palmer,US,2021-05-27 02:28:17,42.1584,-72.3287,68.92,85,90,4.0
198,Mabini,PH,2021-05-27 02:30:50,15.6,120.9833,90.66,36,56,3.11
199,Amahai,ID,2021-05-27 02:30:51,-3.3333,128.9167,82.4,79,94,11.92
200,Snasa,NO,2021-05-27 02:30:51,64.2457,12.3778,48.11,73,98,5.23
201,Beni,CD,2021-05-27 02:30:51,0.5,29.4667,60.57,97,100,2.51
202,Puerto Madryn,AR,2021-05-27 02:30:52,-42.7692,-65.0385,52.88,56,100,11.54
203,Yerbogachen,RU,2021-05-27 02:30:52,61.2767,108.0108,53.2,28,13,8.88
204,Hovd,MN,2021-05-27 02:30:53,48.0056,91.6419,68.74,30,0,3.94
205,Havoysund,NO,2021-05-27 02:30:53,70.9963,24.6622,40.08,75,99,9.89
206,Kirkland Lake,CA,2021-05-27 02:30:53,48.1446,-80.0377,41.83,65,7,10.31
207,Princeton,US,2021-05-27 02:29:56,25.5384,-80.4089,78.82,76,40,5.75
208,Norman Wells,CA,2021-05-27 02:30:54,65.282,-126.8329,46.44,76,75,10.36
209,Sabzevar,IR,2021-05-27 02:30:54,36.2126,57.6819,73.83,38,100,15.14
210,Nizwa,OM,2021-05-27 02:30:54,22.9333,57.5333,93.49,14,6,1.99
211,Sayyan,YE,2021-05-27 02:28:47,15.1718,44.3244,61.77,21,18,5.97
212,Sarangani,PH,2021-05-27 02:30:55,5.4033,125.4636,84.36,72,98,11.3
213,Palma Di Montechiaro,IT,2021-05-27 02:30:55,37.1926,13.765,65.62,50,38,2.91
214,Curuca,BR,2021-05-27 02:30:56,-0.7289,-47.8481,74.75,95,92,3.15
215,Airai,TL,2021-05-27 02:30:56,-8.9266,125.4092,72.59,56,18,6.02
216,Erenhot,CN,2021-05-27 02:30:56,43.6475,111.9767,55.98,50,100,28.19
217,Ouadda,CF,2021-05-27 02:30:57,8.0777,22.4007,68.9,88,100,7.05
218,Torbay,CA,2021-05-27 02:30:57,47.6666,-52.7314,50.77,94,90,16.11
219,Dingle,PH,2021-05-27 02:30:57,10.9995,122.6711,89.92,58,56,5.55
220,Oktyabrskiy,RU,2021-05-27 02:29:37,54.4815,53.471,51.15,79,0,5.44
221,Sorland,NO,2021-05-27 02:29:09,67.667,12.6934,43.21,83,83,21.94
222,Rawson,AR,2021-05-27 02:30:58,-43.3002,-65.1023,51.71,60,100,12.19
223,Okhotsk,RU,2021-05-27 02:30:58,59.3833,143.3,43.5,77,100,8.14
224,Warmbad,NA,2021-05-27 02:30:58,-28.45,18.7333,62.87,35,72,7.23
225,Yar-Sale,RU,2021-05-27 02:30:59,66.8333,70.8333,36.41,52,14,8.25
226,Iqaluit,CA,2021-05-27 02:29:44,63.7506,-68.5145,31.73,80,75,6.91
227,Tuatapere,NZ,2021-05-27 02:30:59,-46.1333,167.6833,49.82,72,100,6.91
228,Los Llanos De Aridane,ES,2021-05-27 02:31:00,28.6585,-17.9182,64.15,87,90,12.57
229,Sao Filipe,CV,2021-05-27 02:28:13,14.8961,-24.4956,73.89,75,0,9.75
230,Craig,US,2021-05-27 02:27:04,40.5153,-107.5464,66.96,27,90,11.5
231,Chase,CA,2021-05-27 02:31:00,50.8165,-119.6857,71.71,53,100,2.42
232,Tuktoyaktuk,CA,2021-05-27 02:31:01,69.4541,-133.0374,28.4,86,90,9.22
233,Vao,NC,2021-05-27 02:31:01,-22.6667,167.4833,71.67,72,5,10.49
234,Cherskiy,RU,2021-05-27 02:31:01,68.75,161.3,61.56,31,96,7.07
235,Pisco,PE,2021-05-27 02:31:02,-13.7,-76.2167,65.01,94,75,5.75
236,Tirana,AL,2021-05-27 02:31:02,41.3275,19.8189,56.28,88,0,3.0
237,Catuday,PH,2021-05-27 02:31:02,16.2923,119.8062,86.5,66,79,0.92
238,Lata,PT,2021-05-27 02:31:03,40.1629,-8.3327,59.72,86,83,0.94
239,Kommunarka,RU,2021-05-27 02:31:03,55.5695,37.4893,58.95,100,75,2.24
240,Ayan,RU,2021-05-27 02:31:03,56.45,138.1667,38.12,82,35,11.16
241,Olga,RU,2021-05-27 02:31:04,43.7444,135.2892,45.81,94,100,9.53
242,Lubao,PH,2021-05-27 02:31:04,14.9167,120.55,91.42,47,100,7.74
243,Nelson Bay,AU,2021-05-27 02:31:04,-32.7167,152.15,64.78,57,0,1.99
244,Esperance,AU,2021-05-27 02:29:31,-33.8667,121.9,60.64,54,100,18.43
245,Broome,US,2021-05-27 02:31:05,42.2506,-75.833,68.38,96,90,1.99
246,Bethel,US,2021-05-27 02:31:05,41.3712,-73.414,71.92,82,100,10.71
247,Pierre,US,2021-05-27 02:31:06,44.3683,-100.351,52.0,66,75,23.02
248,Henties Bay,NA,2021-05-27 02:28:59,-22.116,14.2845,66.15,61,4,4.74
249,Longyearbyen,SJ,2021-05-27 02:31:06,78.2186,15.6401,33.64,80,75,14.97
250,Pirovskoye,RU,2021-05-27 02:31:06,57.6267,92.2658,54.5,37,99,12.17
251,Korla,CN,2021-05-27 02:31:07,41.7597,86.1469,82.87,11,100,3.38
252,Ibra,OM,2021-05-27 02:31:07,22.6906,58.5334,89.76,22,4,2.82
253,Raahe,FI,2021-05-27 02:27:15,64.6833,24.4833,39.29,72,58,14.45
254,La Ronge,CA,2021-05-27 02:31:08,55.1001,-105.2842,46.65,42,1,6.91
255,Peleduy,RU,2021-05-27 02:31:08,59.6289,112.7406,62.22,36,99,3.62
256,Acapulco,MX,2021-05-27 02:31:08,16.8634,-99.8901,85.82,62,90,5.86
257,Vardo,NO,2021-05-27 02:31:09,70.3705,31.1107,39.72,76,87,17.94
258,Lubaczow,PL,2021-05-27 02:31:09,50.157,23.1234,47.52,81,8,4.97
259,Ambon,ID,2021-05-27 02:31:09,-3.6954,128.1814,86.14,74,40,17.11
260,Fenyi,CN,2021-05-27 02:31:10,27.8112,114.6681,73.4,87,100,1.92
261,Half Moon Bay,US,2021-05-27 02:31:10,37.4636,-122.4286,69.75,76,90,1.01
262,Kutum,SD,2021-05-27 02:31:10,14.2,24.6667,75.7,45,92,4.56
263,Solnechnyy,RU,2021-05-27 02:31:11,50.7214,136.6319,47.41,70,100,3.06
264,Progreso,MX,2021-05-27 02:30:55,21.2833,-89.6667,82.51,80,100,12.86
265,Vanavara,RU,2021-05-27 02:31:11,60.34,102.2797,47.93,32,7,3.51
266,Curup,ID,2021-05-27 02:31:11,-3.4667,102.5333,81.18,64,83,5.39
267,Mehran,IR,2021-05-27 02:31:12,33.1222,46.1646,74.68,18,0,5.84
268,Caravelas,BR,2021-05-27 02:31:12,-17.7125,-39.2481,71.83,96,22,4.29
269,Ilulissat,GL,2021-05-27 02:28:33,69.2167,-51.1,53.62,35,100,26.46
270,Bonito,BR,2021-05-27 02:31:12,-21.1211,-56.4819,71.17,66,42,1.88
271,Cockburn Town,TC,2021-05-27 02:31:13,21.4612,-71.1419,79.09,78,8,15.05
272,Paamiut,GL,2021-05-27 02:31:13,61.994,-49.6678,37.18,88,75,9.31
273,Mujiayingzi,CN,2021-05-27 02:31:13,42.1167,118.7833,65.37,26,97,9.91
274,Mopipi,BW,2021-05-27 02:31:14,-21.1833,24.8833,52.05,39,0,6.69
275,Bulaevo,KZ,2021-05-27 02:31:14,54.9056,70.4439,56.91,61,0,16.55
276,Marawi,PH,2021-05-27 02:31:14,7.9986,124.2928,80.65,82,91,2.24
277,San Rafael Del Sur,NI,2021-05-27 02:31:15,11.8485,-86.4384,81.57,67,100,15.39
278,Zhigansk,RU,2021-05-27 02:29:42,66.7697,123.3711,58.66,45,10,14.88
279,Rabo De Peixe,PT,2021-05-27 02:31:15,37.8,-25.5833,58.51,82,40,11.72
280,Suoyarvi,RU,2021-05-27 02:31:16,62.0833,32.35,42.1,96,100,4.23
281,Praia Da Vitoria,PT,2021-05-27 02:31:16,38.7333,-27.0667,61.05,72,75,12.1
282,Drovyanaya,RU,2021-05-27 02:31:16,51.5833,113.0333,58.51,45,69,10.07
283,Bambous Virieux,MU,2021-05-27 02:28:38,-20.3428,57.7575,71.85,94,75,4.59
284,Nouadhibou,MR,2021-05-27 02:31:17,20.931,-17.0347,64.38,82,0,19.57
285,Bengkulu,ID,2021-05-27 02:31:17,-3.8004,102.2655,87.75,59,53,1.28
286,Kanniyakumari,IN,2021-05-27 02:31:17,8.0833,77.5667,78.93,87,100,20.96
287,Saskylakh,RU,2021-05-27 02:28:16,71.9167,114.0833,37.63,78,100,12.46
288,Salalah,OM,2021-05-27 02:27:37,17.0151,54.0924,80.69,83,20,0.0
289,Kibala,TD,2021-05-27 02:31:18,9.1104,18.3463,78.75,73,0,0.0
290,Linxia,CN,2021-05-27 02:31:18,35.6003,103.2064,68.79,31,38,3.13
291,Sika,GM,2021-05-27 02:31:19,13.3546,-16.345,71.74,77,28,6.35
292,Puerto Colombia,CO,2021-05-27 02:31:19,10.9878,-74.9547,82.49,85,24,26.62
293,Preobrazheniye,RU,2021-05-27 02:31:19,42.9019,133.9064,48.56,96,100,12.82
294,Tallahassee,US,2021-05-27 02:29:09,30.4383,-84.2807,78.53,84,20,3.44
295,Terre-De-Bas,GP,2021-05-27 02:31:20,15.8501,-61.6442,78.31,76,16,16.89
